,Unnamed: 0,Incident Number,Incident Date,Reason for Report,Impact of Incident,Country,State,County,City,Product Registration Number(s),Product Names,PC Codes,Active Ingredient(s),Overall Submission Description (may describe multiple incidents),clean
8468,8468,032291-00001,07/03/2019,Adverse Reaction,HD - Human - Minor,US,CA,Kings County,,000524-00549,Roundup Power Max Herbicide,103613,"Glycine, N-(phosphonomethyl)- potassium salt",State of Cal. Dept. of Pesticide Regulation: Includes 1 H-D. Multiple fieldworkers complained of an odor and were taken for medical attention. (JK),state cal. dept. pesticide regulation: includes 1 h-d. multiple fieldworkers complained odor taken medical attention. (jk)
8469,8469,032291-00001,07/03/2019,Adverse Reaction,HD - Human - Minor,US,CA,Kings County,,,Pht Escalate,"076001, 005601","Phosphoric acid, Hydroxy Carboxylic Acid, Ammonium sulfate",State of Cal. Dept. of Pesticide Regulation: Includes 1 H-D. Multiple fieldworkers complained of an odor and were taken for medical attention. (JK),state cal. dept. pesticide regulation: includes 1 h-d. multiple fieldworkers complained odor taken medical attention. (jk)
8470,8470,032291-00001,07/03/2019,Adverse Reaction,HD - Human - Minor,US,CA,Kings County,,,Php Guide-It,,Polyvinyl Polymer,State of Cal. Dept. of Pesticide Regulation: Includes 1 H-D. Multiple fieldworkers complained of an odor and were taken for medical attention. (JK),state cal. dept. pesticide regulation: includes 1 h-d. multiple fieldworkers complained odor taken medical attention. (jk)
8471,8471,032291-00001,07/03/2019,Adverse Reaction,HD - Human - Minor,US,CA,Kings County,,010163-00337,Onager Optek,128849,Hexythiazox,State of Cal. Dept. of Pesticide Regulation: Includes 1 H-D. Multiple fieldworkers complained of an odor and were taken for medical attention. (JK),state cal. dept. pesticide regulation: includes 1 h-d. multiple fieldworkers complained odor taken medical attention. (jk)
8472,8472,032296-00001,06/09/2019,Adverse Reaction,ON - Other Nontarget,US,CA,Merced,,000264-01104,Leverage Insecticide,"118831, 129099","beta-Cyfluthrin, Imidacloprid","Region 9: July 2019, bee kill under investigation in Merced, CA. ","region 9: july 2019, bee kill investigation merced, ca."
8473,8473,032296-00001,06/09/2019,Adverse Reaction,ON - Other Nontarget,US,CA,Merced,,059639-00150,Belay Insecticide,044309,Clothianidin,"Region 9: July 2019, bee kill under investigation in Merced, CA. ","region 9: july 2019, bee kill investigation merced, ca."
8474,8474,032297-00001,06/18/2019,Adverse Reaction,"HD - Human - Minor, ON - Other Nontarget",US,CA,Tulare,,010163-00337,Onager Optek Miticide,128849,Hexythiazox,"Region 9: On June 18, 2019, 34 of 56 field workers thinning grape clusters began to experience symptoms due to alleged drift from a ground application of abamectin and hexythiazox to an adjacent peach
orchard. Ten workers sought medical attention.","region 9: on june 18, 2019, 34 56 field workers thinning grape clusters began experience symptoms due alleged drift ground application abamectin hexythiazox adjacent peach orchard. ten workers sought medical attention."
8475,8475,032297-00001,06/18/2019,Adverse Reaction,"HD - Human - Minor, ON - Other Nontarget",US,CA,Tulare,,034704-01078,Reaper Clearform,122804,Abamectin,"Region 9: On June 18, 2019, 34 of 56 field workers thinning grape clusters began to experience symptoms due to alleged drift from a ground application of abamectin and hexythiazox to an adjacent peach
orchard. Ten workers sought medical attention.","region 9: on june 18, 2019, 34 56 field workers thinning grape clusters began experience symptoms due alleged drift ground application abamectin hexythiazox adjacent peach orchard. ten workers sought medical attention."
8476,8476,032298-00001,03/22/2019,Adverse Reaction,HC - Human - Moderate,US,CA,Imperial,Brawley,000266-20001,Sodium Hypochlorite ,014703,Sodium hypochlorite,"Region 9: On March 22, 2019, the Department of Pesticide Regulation (DPR) received a Pesticide Incident Report (PIR) from the California Poison Control System reporting that a 24-year old female was exposed to sodium hypochlorite and visited Pioneers Hospital, in Brawley.","region 9: on march 22, 2019, department pesticide regulation (dpr) received pesticide incident report (pir) california poison control system reporting 24-year old female exposed sodium hypochlorite visited pioneers hospital, brawley."
8477,8477,032299-00001,07/02/2019,Adverse Reaction,ON - Other Nontarget,US,LA,Jefferson,,,Naled ,034401,Naled,"EFED: July 2019, alleged bee loss in Jefferson Parish.LA, naled was allegedly applied. ","efed: july 2019, alleged bee loss jefferson parish.la, naled allegedly applied."
8478,8478,032299-00001,07/02/2019,Adverse Reaction,ON - Other Nontarget,US,LA,Jefferson,,,Unknown,034401,Naled,"EFED: July 2019, alleged bee loss in Jefferson Parish.LA, naled was allegedly applied. ","efed: july 2019, alleged bee loss jefferson parish.la, naled allegedly applied."
8479,8479,032303-00001,07/15/2019,Adverse Reaction,ON - Other Nontarget,US,CA,Los Angeles,Altadena,,Not Reported,,Not Reported,"NPIC: July 2019, bee kill report from Altadena, CA, no pesticides identified. ","npic: july 2019, bee kill report altadena, ca, pesticides identified."
8480,8480,032303-00001,07/15/2019,Adverse Reaction,ON - Other Nontarget,US,CA,Los Angeles,Altadena,,,,Unknown,"NPIC: July 2019, bee kill report from Altadena, CA, no pesticides identified. ","npic: july 2019, bee kill report altadena, ca, pesticides identified."
8482,8482,032306-00001,03/22/2016,Adverse Reaction,ON - Other Nontarget,US,CA,Solano County,Vacaville,,Unknown,,Unknown,"State of California Dept. of Pesticide Regulation: Includes 1 O-N. Massive bee kill at hives at Vacaville, CA on 3/22/16. (JK)","state california dept. pesticide regulation: includes 1 o-n. massive bee kill hives vacaville, ca 3/22/16. (jk)"
8483,8483,032306-00001,03/22/2016,Adverse Reaction,ON - Other Nontarget,US,CA,Solano County,Vacaville,,,,Unknown,"State of California Dept. of Pesticide Regulation: Includes 1 O-N. Massive bee kill at hives at Vacaville, CA on 3/22/16. (JK)","state california dept. pesticide regulation: includes 1 o-n. massive bee kill hives vacaville, ca 3/22/16. (jk)"
8484,8484,032307-00001,06/21/2019,Adverse Reaction,"HB - Human - Major, HC - Human - Moderate",US,CA,Orange,,,Real-Kill Indoor Foggers,,Unknown,"State of California Dept. of Pesticide Regulation: Includes 1 H-C. Symptoms include Breathing difficulty, Lethargy, Slurred speech and Hypotension. (JK)","state california dept. pesticide regulation: includes 1 h-c. symptoms include breathing difficulty, lethargy, slurred speech hypotension. (jk)"
8485,8485,032307-00001,06/21/2019,Adverse Reaction,"HB - Human - Major, HC - Human - Moderate",US,CA,Orange,,009688-00249-000478,Real-Kill Indoor Fogger 5,109702,Cypermethrin,"State of California Dept. of Pesticide Regulation: Includes 1 H-C. Symptoms include Breathing difficulty, Lethargy, Slurred speech and Hypotension. (JK)","state california dept. pesticide regulation: includes 1 h-c. symptoms include breathing difficulty, lethargy, slurred speech hypotension. (jk)"
8491,8491,032311-00001,06/06/2019,Adverse Reaction,ON - Other Nontarget,US,CA,,Perris,,Unknown,,Unknown,State of CA Dept. of Pesticide Regulation: Includes 1 O-N. Beekeeper claiming a bee death that amounted to a 325 beehive loss. (JK),state ca dept. pesticide regulation: includes 1 o-n. beekeeper claiming bee death amounted 325 beehive loss. (jk)
8492,8492,032311-00001,06/06/2019,Adverse Reaction,ON - Other Nontarget,US,CA,,Perris,,,,Unknown,State of CA Dept. of Pesticide Regulation: Includes 1 O-N. Beekeeper claiming a bee death that amounted to a 325 beehive loss. (JK),state ca dept. pesticide regulation: includes 1 o-n. beekeeper claiming bee death amounted 325 beehive loss. (jk)
8503,8503,032317-00001,06/27/2019,Adverse Reaction,HD - Human - Minor,US,CA,King,,000100-00617,Tilt,122101,Propiconazole,"Region 9: On June 27th, at approximately 5:00am, a pesticide application was started on the NE side of a
nectarine orchard. At approximately 5:30am, a farm labor contracting (FLC) crew of 21 persons
began harvesting plums on the SW side of the plum orchard, near the aforementioned nectarine
orchard. By 8:00am seven (7) field workers smelled a pesticide-like odor and complained of the
following illness symptoms: light-headedness, scratchy throat, nausea and two of them vomited at
the site. All 7 field workers were taken to Selma Hospital for possible medical attention.","region 9: on june 27th, approximately 5:00am, pesticide application started ne side nectarine orchard. at approximately 5:30am, farm labor contracting (flc) crew 21 persons began harvesting plums sw side plum orchard, near aforementioned nectarine orchard. by 8:00am seven (7) field workers smelled pesticide-like odor complained following illness symptoms: light-headedness, scratchy throat, nausea two vomited site. all 7 field workers taken selma hospital possible medical attention."
8504,8504,032317-00001,06/27/2019,Adverse Reaction,HD - Human - Minor,US,CA,King,,062719-00541,Delegate Wg Insecticide,110007,Spinetoram (amixture of spinetoram-J and spinetoram-L),"Region 9: On June 27th, at approximately 5:00am, a pesticide application was started on the NE side of a
nectarine orchard. At approximately 5:30am, a farm labor contracting (FLC) crew of 21 persons
began harvesting plums on the SW side of the plum orchard, near the aforementioned nectarine
orchard. By 8:00am seven (7) field workers smelled a pesticide-like odor and complained of the
following illness symptoms: light-headedness, scratchy throat, nausea and two of them vomited at
the site. All 7 field workers were taken to Selma Hospital for possible medical attention.","region 9: on june 27th, approximately 5:00am, pesticide application started ne side nectarine orchard. at approximately 5:30am, farm labor contracting (flc) crew 21 persons began harvesting plums sw side plum orchard, near aforementioned nectarine orchard. by 8:00am seven (7) field workers smelled pesticide-like odor complained following illness symptoms: light-headedness, scratchy throat, nausea two vomited site. all 7 field workers taken selma hospital possible medical attention."
8505,8505,032317-00001,06/27/2019,Adverse Reaction,HD - Human - Minor,US,CA,King,,000264-00831,Envidor 2 Sc,124871,Spirodiclofen,"Region 9: On June 27th, at approximately 5:00am, a pesticide application was started on the NE side of a
nectarine orchard. At approximately 5:30am, a farm labor contracting (FLC) crew of 21 persons
began harvesting plums on the SW side of the plum orchard, near the aforementioned nectarine
orchard. By 8:00am seven (7) field workers smelled a pesticide-like odor and complained of the
following illness symptoms: light-headedness, scratchy throat, nausea and two of them vomited at
the site. All 7 field workers were taken to Selma Hospital for possible medical attention.","region 9: on june 27th, approximately 5:00am, pesticide application started ne side nectarine orchard. at approximately 5:30am, farm labor contracting (flc) crew 21 persons began harvesting plums sw side plum orchard, near aforementioned nectarine orchard. by 8:00am seven (7) field workers smelled pesticide-like odor complained following illness symptoms: light-headedness, scratchy throat, nausea two vomited site. all 7 field workers taken selma hospital possible medical attention."
8506,8506,032319-00001,05/31/2019,Adverse Reaction,"DB - Domestic Animal - Major, DC - Domestic Animal - Moderate, ON - Other Nontarget",US,AK,,North Pole ,000279-03206,Talstar P ,128825,Bifenthrin,"NPIC: July 2019, bee losses in North Pole, AK, allegedly from the use of Talstar p 9a.i. bifenthrin) ","npic: july 2019, bee losses north pole, ak, allegedly use talstar p 9a.i. bifenthrin)"
8509,8509,032328-00001,07/20/2019,Adverse Reaction,"HC - Human - Moderate, HD - Human - Minor, HE - Human - Unspecified",US,CA,Kern,,,Unknown,,Unknown,"Region 9: On July 20, 2019, at approximately 1:30 p.m., Kern County Agricultural Commissioner's office was notified by Kern County Environmental Health that 6 field workers smelled an odor and began to experience symptoms of headaches and dizziness. In addition, one person experienced increased saliva production, anxiety, an increased heart rate and fainted. When this person woke up they also vomited. This individual was taken by the farm labor contractor to receive emergency medical care and the other 5 field workers followed. Kern County is still determining if an application was occurring within the surrounding area. ","region 9: on july 20, 2019, approximately 1:30 p.m., kern county agricultural commissioner's office notified kern county environmental health 6 field workers smelled odor began experience symptoms headaches dizziness. in addition, one person experienced increased saliva production, anxiety, increased heart rate fainted. when person woke also vomited. this individual taken farm labor contractor receive emergency medical care 5 field workers followed. kern county still determining application occurring within surrounding area."
8510,8510,032331-00001,07/25/2019,Adverse Reaction,HE - Human - Unspecified,US,CA,Sutter,,000100-01402,Besiege Insecticide,"128897, 090100","lambda-Cyhalothrin, Chlorantraniliprole","Region 9: On July 25th, 18 PG&E workers suspected they were drifted upon by an application that occurred in the vicinity that they were working. The Sutter County CAC collected preliminary information that suggested that Besiege Insecticide (100-1402) and Buzz Ultra (70905-4) may have been the pesticides applied. Samples have been taken and Sutter County CAC staff continue to investigate. ","region 9: on july 25th, 18 pg&e workers suspected drifted upon application occurred vicinity working. the sutter county cac collected preliminary information suggested besiege insecticide (100-1402) buzz ultra (70905-4) may pesticides applied. samples taken sutter county cac staff continue investigate."
8511,8511,032331-00001,07/25/2019,Adverse Reaction,HE - Human - Unspecified,US,CA,Sutter,,070905-00004,Buzz Ultra Df,128997,Tebuconazole,"Region 9: On July 25th, 18 PG&E workers suspected they were drifted upon by an application that occurred in the vicinity that they were working. The Sutter County CAC collected preliminary information that suggested that Besiege Insecticide (100-1402) and Buzz Ultra (70905-4) may have been the pesticides applied. Samples have been taken and Sutter County CAC staff continue to investigate. ","region 9: on july 25th, 18 pg&e workers suspected drifted upon application occurred vicinity working. the sutter county cac collected preliminary information suggested besiege insecticide (100-1402) buzz ultra (70905-4) may pesticides applied. samples taken sutter county cac staff continue investigate."
8512,8512,032332-00001,07/24/2019,Adverse Reaction,HE - Human - Unspecified,US,GA,,Atlanta,,Unknown,057701,Malathion  (NO INERT USE),"NPIC: Caller reported that an unlicensed applicator had made up her own pesticide mix, including active ingredient malathion, and applied it to the mattresses for bedbugs in approximately 15 homes.","npic: caller reported unlicensed applicator made pesticide mix, including active ingredient malathion, applied mattresses bedbugs approximately 15 homes."
8544,8544,032337-00001,05/14/2019,Adverse Reaction,HD - Human - Minor,US,CA,San Joaquin,,,Unknown,,Ammonia,Region 9: San Joaquin CAC determined that the incident was due to a refrigeration system failure which makes this a non-pesticide related incident.,region 9: san joaquin cac determined incident due refrigeration system failure makes non-pesticide related incident.
8552,8552,032345-00001,07/20/2019,Adverse Reaction,HE - Human - Unspecified,,,,,000100-01276,Endigo Zc,"060109, 128897","Thiamethoxam, lambda-Cyhalothrin","Region 9: On July 20, 2019, at approximately 6:30am, a 33 year old male and his coworkers arrived at a field in King City to lay/bury drip irrigation for romaine lettuce. They were immediately approached by a King City Air division employee, who informed them to relocate, because a helicopter application of the above pesticides was going to begin in 10 minutes, adjacent to where they were about to work.  The workers moved to the ranch yard while the pesticide application was made.  Approximately 30 minutes later, after the application was completed, their foreman called them to return back to the romaine lettuce block to start the drip irrigation work.
At 2:00pm, the 33 year old male removed his work clothes and headed home and then began to experience","region 9: on july 20, 2019, approximately 6:30am, 33 year old male coworkers arrived field king city lay/bury drip irrigation romaine lettuce. they immediately approached king city air division employee, informed relocate, helicopter application pesticides going begin 10 minutes, adjacent work. the workers moved ranch yard pesticide application made. approximately 30 minutes later, application completed, foreman called return back romaine lettuce block start drip irrigation work. at 2:00pm, 33 year old male removed work clothes headed home began experience"
8553,8553,032345-00001,07/20/2019,Adverse Reaction,HE - Human - Unspecified,,,,,073049-00040,Xentari Biological Insecticide Dry Flowable,006523,"Bacillus thuringiensis, subsp. aizawai strain ABTS 1857","Region 9: On July 20, 2019, at approximately 6:30am, a 33 year old male and his coworkers arrived at a field in King City to lay/bury drip irrigation for romaine lettuce. They were immediately approached by a King City Air division employee, who informed them to relocate, because a helicopter application of the above pesticides was going to begin in 10 minutes, adjacent to where they were about to work.  The workers moved to the ranch yard while the pesticide application was made.  Approximately 30 minutes later, after the application was completed, their foreman called them to return back to the romaine lettuce block to start the drip irrigation work.
At 2:00pm, the 33 year old male removed his work clothes and headed home and then began to experience","region 9: on july 20, 2019, approximately 6:30am, 33 year old male coworkers arrived field king city lay/bury drip irrigation romaine lettuce. they immediately approached king city air division employee, informed relocate, helicopter application pesticides going begin 10 minutes, adjacent work. the workers moved ranch yard pesticide application made. approximately 30 minutes later, application completed, foreman called return back romaine lettuce block start drip irrigation work. at 2:00pm, 33 year old male removed work clothes headed home began experience"
8554,8554,032345-00001,07/20/2019,Adverse Reaction,HE - Human - Unspecified,,,,,000279-09606,Coragen Insect Control,090100,Chlorantraniliprole,"Region 9: On July 20, 2019, at approximately 6:30am, a 33 year old male and his coworkers arrived at a field in King City to lay/bury drip irrigation for romaine lettuce. They were immediately approached by a King City Air division employee, who informed them to relocate, because a helicopter application of the above pesticides was going to begin in 10 minutes, adjacent to where they were about to work.  The workers moved to the ranch yard while the pesticide application was made.  Approximately 30 minutes later, after the application was completed, their foreman called them to return back to the romaine lettuce block to start the drip irrigation work.
At 2:00pm, the 33 year old male removed his work clothes and headed home and then began to experience","region 9: on july 20, 2019, approximately 6:30am, 33 year old male coworkers arrived field king city lay/bury drip irrigation romaine lettuce. they immediately approached king city air division employee, informed relocate, helicopter application pesticides going begin 10 minutes, adjacent work. the workers moved ranch yard pesticide application made. approximately 30 minutes later, application completed, foreman called return back romaine lettuce block start drip irrigation work. at 2:00pm, 33 year old male removed work clothes headed home began experience"
8555,8555,032345-00001,07/20/2019,Adverse Reaction,HE - Human - Unspecified,,,,,000264-01050,Movento,392201,Spirotetramat,"Region 9: On July 20, 2019, at approximately 6:30am, a 33 year old male and his coworkers arrived at a field in King City to lay/bury drip irrigation for romaine lettuce. They were immediately approached by a King City Air division employee, who informed them to relocate, because a helicopter application of the above pesticides was going to begin in 10 minutes, adjacent to where they were about to work.  The workers moved to the ranch yard while the pesticide application was made.  Approximately 30 minutes later, after the application was completed, their foreman called them to return back to the romaine lettuce block to start the drip irrigation work.
At 2:00pm, the 33 year old male removed his work clothes and headed home and then began to experience","region 9: on july 20, 2019, approximately 6:30am, 33 year old male coworkers arrived field king city lay/bury drip irrigation romaine lettuce. they immediately approached king city air division employee, informed relocate, helicopter application pesticides going begin 10 minutes, adjacent work. the workers moved ranch yard pesticide application made. approximately 30 minutes later, application completed, foreman called return back romaine lettuce block start drip irrigation work. at 2:00pm, 33 year old male removed work clothes headed home began experience"
8556,8556,032346-00001,07/27/2019,Adverse Reaction,HC - Human - Moderate,US,CA,Los Angeles,,,Raid,069001,Pyrethrins,"Region 9:  On July 29, 2019, Department of Pesticide Regulation (DPR) Enforcement was notified by Worker Health and Safety Branch that a 27 year-old male ingested 8oz of Raid in a self harm attempt The incident occurred on July 27, 2019, and the patient was admitted the same day with symptoms of vomiting and
diaphoresis to St. Mary Medical Center-Long Beach in Long Beach.","region 9: on july 29, 2019, department pesticide regulation (dpr) enforcement notified worker health safety branch 27 year-old male ingested 8oz raid self harm attempt the incident occurred july 27, 2019, patient admitted day symptoms vomiting diaphoresis st. mary medical center-long beach long beach."
8598,8598,032377-00001,06/01/2019,Adverse Reaction,"F - Other, ON - Other Nontarget, PB - Plant Damage - Minor",US,TN,,,,Not Reported,029801,Dicamba,"Monsanto/Bayer: June, alleged crop damage incident from the use of a product containing dicamba.  ","monsanto/bayer: june, alleged crop damage incident use product containing dicamba."
8608,8608,032383-00001,07/26/2018,Adverse Reaction,HD - Human - Minor,US,CA,Solano,,000100-01402,Besiege Insecticide,"090100, 128897","Chlorantraniliprole, lambda-Cyhalothrin","Region 9: The incident involved an application of chlorpyrifos to an almond orchard that drifted onto an
adjacent field that 11 employees of a Farm Labor Contractor (FLC) were working in. The employees
developed symptoms but were not taken to seek medical attention. Violations were found for the
applicator and for the FLC.",region 9: the incident involved application chlorpyrifos almond orchard drifted onto adjacent field 11 employees farm labor contractor (flc) working in. the employees developed symptoms taken seek medical attention. violations found applicator flc.
8609,8609,032383-00001,07/26/2018,Adverse Reaction,HD - Human - Minor,US,CA,Solano,,034704-00857,Warhawk,059101,Chlorpyrifos,"Region 9: The incident involved an application of chlorpyrifos to an almond orchard that drifted onto an
adjacent field that 11 employees of a Farm Labor Contractor (FLC) were working in. The employees
developed symptoms but were not taken to seek medical attention. Violations were found for the
applicator and for the FLC.",region 9: the incident involved application chlorpyrifos almond orchard drifted onto adjacent field 11 employees farm labor contractor (flc) working in. the employees developed symptoms taken seek medical attention. violations found applicator flc.
8610,8610,032383-00001,07/26/2018,Adverse Reaction,HD - Human - Minor,US,CA,Solano,,010163-00337,Onager Optek Miticide,128849,Hexythiazox,"Region 9: The incident involved an application of chlorpyrifos to an almond orchard that drifted onto an
adjacent field that 11 employees of a Farm Labor Contractor (FLC) were working in. The employees
developed symptoms but were not taken to seek medical attention. Violations were found for the
applicator and for the FLC.",region 9: the incident involved application chlorpyrifos almond orchard drifted onto adjacent field 11 employees farm labor contractor (flc) working in. the employees developed symptoms taken seek medical attention. violations found applicator flc.
8623,8623,032389-00001,07/18/2019,Adverse Reaction,HA - Human Fatality,US,CA,Tulare,,042750-00062,Albaugh Land Star,"030025, 103601","2,4-D, isopropylamine salt, Glyphosate-isopropylammonium","Region 9: On July 18, a farm employee was discovered deceased in a corn field where he had been making a
herbicide application. On August 2, Tulare Agricultural Commissioner¿s (CAC) Office received a call informing the county of the incident. The caller was concerned that the pesticides could have
contributed to his death. Cal OSHA referred the caller to Tulare CAC. Tulare CAC is investigating the
incident.","region 9: on july 18, farm employee discovered deceased corn field making herbicide application. on august 2, tulare agricultural commissioner¿s (cac) office received call informing county incident. the caller concerned pesticides could contributed death. cal osha referred caller tulare cac. tulare cac investigating incident."
8624,8624,032389-00001,07/18/2019,Adverse Reaction,HA - Human Fatality,US,CA,Tulare,,070506-00310,Lifeline Herbicide,128850,Glufosinate,"Region 9: On July 18, a farm employee was discovered deceased in a corn field where he had been making a
herbicide application. On August 2, Tulare Agricultural Commissioner¿s (CAC) Office received a call informing the county of the incident. The caller was concerned that the pesticides could have
contributed to his death. Cal OSHA referred the caller to Tulare CAC. Tulare CAC is investigating the
incident.","region 9: on july 18, farm employee discovered deceased corn field making herbicide application. on august 2, tulare agricultural commissioner¿s (cac) office received call informing county incident. the caller concerned pesticides could contributed death. cal osha referred caller tulare cac. tulare cac investigating incident."
8625,8625,032390-00001,06/30/2019,Adverse Reaction,ON - Other Nontarget,US,NC,Caldwell,Wilkesboro,,Unknown,,Unknown,"EFED: June 2019, bee losses in Caldwell County, NC, unknown pesticide. ","efed: june 2019, bee losses caldwell county, nc, unknown pesticide."
8626,8626,032390-00001,06/30/2019,Adverse Reaction,ON - Other Nontarget,US,NC,Caldwell,Wilkesboro,,,,Not Reprted,"EFED: June 2019, bee losses in Caldwell County, NC, unknown pesticide. ","efed: june 2019, bee losses caldwell county, nc, unknown pesticide."
8627,8627,032390-00001,06/30/2019,Adverse Reaction,ON - Other Nontarget,US,NC,Caldwell,Wilkesboro,,,,Not Reported,"EFED: June 2019, bee losses in Caldwell County, NC, unknown pesticide. ","efed: june 2019, bee losses caldwell county, nc, unknown pesticide."
8774,8774,032398-00001,07/18/2019,Adverse Reaction,HD - Human - Minor,US,CA,Kern ,,,Unknown,,Unknown,"Region 9: On July 18, 2019, the Kern County Agricultural Commissioner's office was notified that 600 field workers, 8 different crews all from the same farm labor contractor, smelled an odor when they began their workday at 6:00 a.m. At around 6:30 a.m., 9 field workers developed symptoms of dry mouth, nausea, dizziness and vomiting.","region 9: on july 18, 2019, kern county agricultural commissioner's office notified 600 field workers, 8 different crews farm labor contractor, smelled odor began workday 6:00 a.m. at around 6:30 a.m., 9 field workers developed symptoms dry mouth, nausea, dizziness vomiting."
8777,8777,032404-00001,07/20/2019,Adverse Reaction,HD - Human - Minor,US,CA,Kern,,,Unknown,,Unknown,"Region 9: On Saturday July 20, 2019, at approximately 1:30 p.m., Kern County Agricultural Commissioner's office was notified by Kern Environmental Health that 6 field workers smelled an odor and began to experience symptoms of headaches and dizziness. In addition, one person experienced increased saliva production, anxiety, an increased heart rate and fainted. When this person woke up they also vomited. This individual was taken by the farm labor contractor to receive emergency medical care and the other 5 field workers followed. It was later determined that one of the six individuals did not have any symptoms and was decontaminated as a precaution while at the medical facility.","region 9: on saturday july 20, 2019, approximately 1:30 p.m., kern county agricultural commissioner's office notified kern environmental health 6 field workers smelled odor began experience symptoms headaches dizziness. in addition, one person experienced increased saliva production, anxiety, increased heart rate fainted. when person woke also vomited. this individual taken farm labor contractor receive emergency medical care 5 field workers followed. it later determined one six individuals symptoms decontaminated precaution medical facility."
8814,8814,032412-00001,08/31/2019,Adverse Reaction,HC - Human - Moderate,US,CA,Stanislaus,,091197-00003,Howler,006800,Pseudomonas chlororaphis strain AFS009,"Region 9: Aug. 2019, On August 1, 2019, the California Poison Control System issued a Pesticide Illness Report (PIR) for one employee, but stated that an estimated 30 employees would be arriving at the clinic for odor complaints and symptoms from exposure to Howler (EPA Reg.# 91197-3)","region 9: aug. 2019, on august 1, 2019, california poison control system issued pesticide illness report (pir) one employee, stated estimated 30 employees would arriving clinic odor complaints symptoms exposure howler (epa reg.# 91197-3)"
8815,8815,032413-00001,05/01/2019,Adverse Reaction,HC - Human - Moderate,US,ID,,Parma,080289-00003,Badge Sc,"023401, 023501","Copper hydroxide, Copper oxychloride   (Cu2Cl(OH)3)","Gowan: May 2019, The Idaho State Department of Agriculture was unable to clearly identify what toxic
substance sickened a group of Treasure Valley farmworkers in Parma in May, state agriculture investigators say a crop-duster pilot sprayed a fungicide called Badge SC","gowan: may 2019, the idaho state department agriculture unable clearly identify toxic substance sickened group treasure valley farmworkers parma may, state agriculture investigators say crop-duster pilot sprayed fungicide called badge sc"
8818,8818,032421-00001,08/12/2019,Adverse Reaction,HC - Human - Moderate,US,IL,,,,Unknown,,Unknown,"NPIC: Aug 12 ,2019 approximately 100 farmworkers were exposed to an unknown pesticide(s), most workers sought emergency care, symptoms including, vomiting, numbness anywhere that wasn't covered, trouble breathing.","npic: aug 12 ,2019 approximately 100 farmworkers exposed unknown pesticide(s), workers sought emergency care, symptoms including, vomiting, numbness anywhere covered, trouble breathing."
8819,8819,032422-00001,08/08/2019,Adverse Reaction,HD - Human - Minor,US,CA,Sants Cruz,Watsonville,000100-00953,Switch 62.5wg,"071503, 288202","Fludioxonil, Cyprodinil","Region 9: Aug. 2019, On August 8, 2019 approximately 7 out of 60 fieldworkers, harvesting blackberries in hoop houses, began to experience symptoms of nausea, throat irritation, and headaches after moving closer to
another blackberry site on the ranch.","region 9: aug. 2019, on august 8, 2019 approximately 7 60 fieldworkers, harvesting blackberries hoop houses, began experience symptoms nausea, throat irritation, headaches moving closer another blackberry site ranch."
8820,8820,032422-00001,08/08/2019,Adverse Reaction,HD - Human - Minor,US,CA,Sants Cruz,Watsonville,062719-00541,Delegate Wg Insecticide,110007,Spinetoram (amixture of spinetoram-J and spinetoram-L),"Region 9: Aug. 2019, On August 8, 2019 approximately 7 out of 60 fieldworkers, harvesting blackberries in hoop houses, began to experience symptoms of nausea, throat irritation, and headaches after moving closer to
another blackberry site on the ranch.","region 9: aug. 2019, on august 8, 2019 approximately 7 60 fieldworkers, harvesting blackberries hoop houses, began experience symptoms nausea, throat irritation, headaches moving closer another blackberry site ranch."
8821,8821,032423-00001,06/26/2019,Adverse Reaction,HD - Human - Minor,US,CA,Monterey,,007969-00302,Zampro Fungicide,"119210, 268800","Ametoctradin, Dimethomorph","Region 9: Aug 2019, Monterey CAC staff has interviewed all of the fieldworkers; 16 have reported illness symptoms, including throat irritation, itchy skin, nausea, headache, sore throat, swelling of the face, swollen and irritated eyes, weakness, and dizziness.  ","region 9: aug 2019, monterey cac staff interviewed fieldworkers; 16 reported illness symptoms, including throat irritation, itchy skin, nausea, headache, sore throat, swelling face, swollen irritated eyes, weakness, dizziness."
8822,8822,032423-00001,06/26/2019,Adverse Reaction,HD - Human - Minor,US,CA,Monterey,,066222,Trigard 75w,121301,Cyromazine,"Region 9: Aug 2019, Monterey CAC staff has interviewed all of the fieldworkers; 16 have reported illness symptoms, including throat irritation, itchy skin, nausea, headache, sore throat, swelling of the face, swollen and irritated eyes, weakness, and dizziness.  ","region 9: aug 2019, monterey cac staff interviewed fieldworkers; 16 reported illness symptoms, including throat irritation, itchy skin, nausea, headache, sore throat, swelling face, swollen irritated eyes, weakness, dizziness."
